               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08784,            0.015752,                   0,             0.56873,               0.468,             0.49772,             0.23376,            0.062771,           0.0082616,                   0,             0.07018,           0.0033134,           0.0033134
                   1,            0.050537,            0.014887,                   0,             0.95478,             0.95016,             0.98457,              0.7857,             0.02544,           0.0052664,                   0,            0.039851,           0.0063177,           0.0063177
                   2,            0.039697,            0.012133,                   0,             0.93087,               0.941,             0.97611,             0.79338,            0.022783,           0.0045968,                   0,           0.0091916,            0.008992,            0.008992
                   3,            0.033273,            0.011242,                   0,             0.97519,               0.963,             0.98953,             0.88752,            0.015286,           0.0036209,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.030274,            0.010505,                   0,             0.98685,               0.986,             0.99451,             0.88778,            0.015198,           0.0030179,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.028312,            0.010146,                   0,             0.99317,               0.987,             0.99459,             0.91085,            0.013609,           0.0027779,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.027077,           0.0098923,                   0,             0.95232,               0.979,             0.99111,             0.91367,            0.013416,           0.0045344,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.025862,            0.009728,                   0,             0.99094,             0.98396,             0.99408,             0.93284,             0.01143,           0.0027054,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.024875,           0.0094341,                   0,             0.95656,             0.96895,             0.99058,             0.92242,            0.012224,           0.0034863,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.024404,           0.0092755,                   0,             0.96381,               0.983,             0.99212,             0.93685,            0.011109,           0.0038543,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.023646,           0.0091202,                   0,             0.99145,               0.988,             0.99482,             0.93325,            0.011449,           0.0027227,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.023134,           0.0089731,                   0,             0.98302,             0.98427,             0.99439,             0.93301,            0.010277,           0.0026349,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.022558,           0.0088102,                   0,             0.95669,             0.97191,             0.99105,             0.93521,            0.011366,           0.0031039,                   0,            0.004555,            0.004555,            0.004555
                  13,              0.0219,           0.0086938,                   0,             0.98036,                0.98,             0.99414,             0.95735,            0.010443,           0.0032043,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.021592,            0.008625,                   0,             0.98998,             0.98815,             0.99476,             0.94799,            0.010158,            0.002486,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.021068,           0.0085356,                   0,             0.97637,               0.983,             0.99418,             0.96469,           0.0093986,             0.00232,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.020689,           0.0084756,                   0,             0.99387,               0.989,             0.99486,             0.96709,           0.0093227,           0.0023687,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.020241,           0.0083101,                   0,             0.98784,               0.991,              0.9948,             0.96701,           0.0087605,            0.002489,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.020212,           0.0083559,                   0,             0.99354,                0.99,             0.99485,             0.96296,           0.0089028,           0.0022648,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.019801,           0.0081849,                   0,             0.98969,               0.987,             0.99468,             0.96255,           0.0092486,            0.002317,                   0,             0.00109,             0.00109,             0.00109
